iter	MultiClass
0	2.034520548
1	1.789464865
2	1.60898279
3	1.475795475
4	1.367882162
5	1.273539345
6	1.185656824
7	1.11338259
8	1.048245612
9	0.9875838016
10	0.9330035801
11	0.8861905997
12	0.8451173473
13	0.8060729289
14	0.771272121
15	0.7381758354
16	0.7066371677
17	0.6764579215
18	0.6493453484
19	0.6233875424
20	0.6004586029
21	0.5773310423
22	0.5580597004
23	0.5387673381
24	0.52179469
25	0.506116004
26	0.4915128748
27	0.4772996878
28	0.4637815234
29	0.4521796631
30	0.440381805
31	0.4299708285
32	0.4191173367
33	0.4076549693
34	0.3974181834
35	0.3896201064
36	0.3803619931
37	0.3722621136
38	0.3638333316
39	0.3561331778
40	0.350586414
41	0.3442075131
42	0.3372760606
43	0.3308746641
44	0.3255109386
45	0.3209542713
46	0.3155921423
47	0.3101121669
48	0.3049214028
49	0.3015589889
50	0.2973222522
51	0.2928877545
52	0.2876129289
53	0.2845664526
54	0.2812780837
55	0.2781242392
56	0.2741518571
57	0.2713350984
58	0.2692210017
59	0.2655426395
60	0.2628519796
61	0.2593586266
62	0.2580180141
63	0.2558303947
64	0.2516562669
65	0.249478555
66	0.2477959471
67	0.2451336848
68	0.2428480441
69	0.2403232705
70	0.2377003458
71	0.2352381495
72	0.2327407056
73	0.2298671422
74	0.2284139968
75	0.2253878017
76	0.2237747746
77	0.2219948025
78	0.2199483371
79	0.2179582388
80	0.2167416268
81	0.2153205372
82	0.2145234978
83	0.213771623
84	0.2122791414
85	0.2108666675
86	0.2086965499
87	0.2072975528
88	0.2061130899
89	0.2043901499
90	0.2031671488
91	0.2019446201
92	0.2003753069
93	0.1992800296
94	0.1978123932
95	0.1959689254
96	0.1949180862
97	0.1938764161
98	0.1928648453
99	0.1923849237
100	0.1916014913
101	0.1909030838
102	0.1899709426
103	0.1887343974
104	0.1879776115
105	0.186996537
106	0.1856790197
107	0.1845136767
108	0.1836754999
109	0.1827764593
110	0.1821119066
111	0.1811220355
112	0.1800212585
113	0.1794003615
114	0.1789413447
115	0.1782412431
116	0.1776118765
117	0.1772231198
118	0.1763453949
119	0.1751007417
120	0.1745605582
121	0.1742315165
122	0.173716187
123	0.1734483172
124	0.172647481
125	0.1722498016
126	0.1716425437
