iter	MultiClass
127	0.1708164102
128	0.1704023003
129	0.1693935421
130	0.1691305611
131	0.1688664307
132	0.1683259686
133	0.1676481567
134	0.1669027705
135	0.1665555117
136	0.166100948
137	0.1656938994
138	0.1649970653
139	0.1645957628
140	0.1641027753
141	0.1636788704
142	0.163315969
143	0.1630233876
144	0.1624503418
145	0.1618865568
146	0.1615707521
147	0.1612185462
148	0.1607856211
149	0.1601985053
150	0.1596643107
151	0.1591723233
152	0.1588074306
153	0.1583457416
154	0.1578704886
155	0.1574563851
156	0.1569481013
157	0.156444664
158	0.1555832196
159	0.1552658455
160	0.1546878522
161	0.1539204358
162	0.1536839746
163	0.1529170102
164	0.1525223681
165	0.1523064097
166	0.1516284193
167	0.1514129126
168	0.151044077
169	0.1506732915
170	0.1503856805
171	0.1502651828
172	0.1497658365
173	0.1494298112
174	0.149303629
175	0.1489016825
176	0.1483876976
177	0.1480296438
178	0.1477453037
179	0.1475903164
180	0.147390531
181	0.147050409
182	0.1465977861
183	0.1461602596
184	0.1459051767
185	0.1452751327
186	0.1449654891
187	0.1445173253
188	0.1442850503
189	0.1440543278
190	0.1439404461
191	0.1433231837
192	0.1431762278
193	0.1429186061
194	0.14263748
195	0.1419831316
196	0.1415858177
197	0.1410507361
198	0.1407600638
199	0.1405489514
200	0.1402555337
201	0.1399489551
202	0.1394877571
203	0.1390646104
204	0.1387653112
205	0.1381129168
206	0.1379955361
207	0.1376725313
208	0.1375803719
209	0.137307149
210	0.1370847375
211	0.1366819619
212	0.1364042599
213	0.136117677
214	0.1359274145
215	0.1356541865
216	0.1352722159
217	0.1351689377
218	0.1348134422
219	0.1345495821
220	0.1341530108
221	0.133838225
222	0.1335820839
223	0.1334675186
224	0.1332667504
225	0.133115248
226	0.132760433
227	0.1324548877
228	0.1321216196
229	0.1317895333
230	0.1315155698
231	0.1313527435
232	0.1311318036
233	0.1308616633
234	0.1306393063
235	0.1303354379
236	0.1301101748
237	0.1298202205
238	0.1296469987
239	0.1294652043
240	0.1292280831
241	0.1290581106
242	0.1288819319
243	0.1286958177
244	0.1283493662
245	0.1282209647
246	0.1280787001
247	0.1278576195
248	0.1276687631
249	0.1272656482
250	0.1270876901
251	0.126833815
252	0.1266705674
253	0.1264800822
254	0.1262745287
255	0.1260267736
256	0.1258832353
257	0.1256638784
258	0.125524122
259	0.1253706794
260	0.1252332419
261	0.1250075712
262	0.1248184145
263	0.1244765639
264	0.124165399
265	0.1240411911
266	0.1237863439
267	0.1234266139
268	0.1232982166
269	0.1230337679
270	0.1228297635
271	0.1224728075
272	0.122081434
273	0.1218800954
274	0.1216879615
275	0.1215207388
276	0.1211639181
277	0.1207444605
278	0.1205977153
279	0.1203716667
280	0.12016041
281	0.1199525792
282	0.1198193567
283	0.1196295352
284	0.1193578956
285	0.1190156769
286	0.1189151412
287	0.1187561621
288	0.1186198237
289	0.1185135166
290	0.1182058645
291	0.1180410772
292	0.1178190884
293	0.1175366734
294	0.1173642395
295	0.1171281602
296	0.1168870529
297	0.1167556056
298	0.1165650076
299	0.1164319028
300	0.1163118638
301	0.1161301297
302	0.1160431029
303	0.1158898179
304	0.1158091172
305	0.1156555608
306	0.1154855675
307	0.1151857584
308	0.1148575096
309	0.1147089508
310	0.1145389684
311	0.1144212788
312	0.1142047607
313	0.1141096636
314	0.1137903766
315	0.1137788053
316	0.113600542
317	0.1134361602
318	0.1131824264
319	0.1130376541
320	0.1129518487
321	0.1127612483
322	0.112641347
323	0.1124091068
324	0.1122350996
325	0.1120509283
326	0.1119240792
327	0.1118025713
328	0.1115643836
329	0.1113288987
330	0.1112753084
331	0.1110719021
332	0.1110195339
333	0.1109358309
334	0.1107627936
335	0.1106545504
336	0.1103278571
337	0.1100852332
338	0.1099353573
339	0.1098197456
340	0.1097001955
341	0.1094903714
342	0.1093072321
343	0.1091794349
344	0.109082581
345	0.108874348
346	0.1085336462
347	0.1084982589
348	0.1082649058
349	0.1081265753
